City,Country,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
Saskylakh,RU,71.9167,114.0833,-4.76,89,10.4,23,1618080067
Yulara,AU,-25.2406,130.9889,64.4,48,11.5,0,1618080093
Qinhuangdao,CN,39.9317,119.5883,48.07,62,6.44,71,1618080302
Nikolskoye,RU,59.7035,30.7861,37.0,86,2.24,40,1618080054
Ranong,TH,9.9658,98.6348,78.3,85,4.38,58,1618080492
Busselton,AU,-33.65,115.3333,64.99,64,4.0,100,1618080030
Talnakh,RU,69.4865,88.3972,31.89,99,3.74,100,1618080154
Lüderitz,NA,-26.6481,15.1594,75.74,49,7.02,0,1618080073
Lorengau,PG,-2.0226,147.2712,81.39,79,16.93,100,1618080185
Northam,GB,51.0333,-4.2167,46.99,70,7.0,68,1618080493
Te Anau,NZ,-45.4167,167.7167,54.46,95,3.71,100,1618080191
Rikitea,PF,-23.1203,-134.9692,78.3,73,9.42,0,1618080027
Khatanga,RU,71.9667,102.5,7.02,88,7.07,100,1618080044
Makkah al Mukarramah,SA,21.4267,39.8261,77.04,48,8.21,0,1618079943
Atuona,PF,-9.8,-139.0333,80.58,74,17.38,94,1618080052
Faanui,PF,-16.4833,-151.75,81.95,74,10.09,54,1618080082
Hermanus,ZA,-34.4187,19.2345,60.01,89,2.24,100,1618080043
Kapaa,US,22.0752,-159.319,71.01,83,6.91,90,1618080022
Brae,GB,60.3964,-1.353,35.6,75,5.75,94,1618080494
Mercedes,AR,-34.6515,-59.4307,70.0,94,3.0,100,1618080495
Cape Town,ZA,-33.9258,18.4232,64.99,82,10.36,0,1618080044
Mayo,US,38.8876,-76.5119,70.0,62,1.01,100,1618080224
Bredasdorp,ZA,-34.5322,20.0403,60.8,88,1.14,100,1618080028
Ushuaia,AR,-54.8,-68.3,53.6,54,12.66,40,1618080029
Ponta do Sol,PT,32.6667,-17.1,64.99,68,1.99,73,1618080077
Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,5.75,75,1618080070
Mataura,NZ,-46.1927,168.8643,57.0,94,3.0,34,1618080024
Moerai,PF,-22.4333,-151.3333,78.26,75,12.75,98,1618080496
East London,ZA,-33.0153,27.9116,66.2,94,1.14,0,1618080035
Nanortalik,GL,60.1432,-45.2371,37.36,90,10.0,100,1618080142
Geraldton,AU,-28.7667,114.6,77.0,47,19.57,90,1618080130
Padang,ID,-0.9492,100.3543,77.0,94,2.3,40,1618080183
Ostrovnoy,RU,68.0531,39.5131,35.56,78,29.93,79,1618080113
Champerico,GT,14.3,-91.9167,89.6,70,6.91,40,1618080201
Cornedo Vicentino,IT,45.6131,11.3406,57.99,57,2.01,100,1618080497
Ancud,CL,-41.8697,-73.8203,57.99,82,10.36,75,1618080033
Cabo San Lucas,MX,22.8909,-109.9124,79.0,73,11.5,40,1618080053
Saldanha,ZA,-33.0117,17.9442,64.4,77,1.14,98,1618080196
Roebourne,AU,-20.7833,117.1333,82.8,75,10.87,66,1618080498
Severo-Kuril'sk,RU,50.6789,156.125,29.1,83,18.1,100,1618080076
Mana,GF,5.6592,-53.7767,82.36,71,7.34,31,1618080499
Castro,BR,-24.7911,-50.0119,77.25,41,4.59,0,1618080036
Lebu,CL,-37.6167,-73.65,57.4,68,12.46,0,1618080051
Qaanaaq,GL,77.484,-69.3632,20.95,83,8.97,100,1618080046
Albany,US,42.6001,-73.9662,77.0,36,4.0,15,1618079729
Torbay,CA,47.6666,-52.7314,33.01,93,23.02,90,1618080037
Teacapan,MX,22.55,-105.75,81.12,51,10.49,13,1618080500
Ribeira Grande,PT,38.5167,-28.7,62.6,94,12.66,75,1618080123
Aykhal,RU,66.0,111.5,-10.55,100,6.78,100,1618080500
Oulainen,FI,64.2667,24.8,30.99,93,1.01,32,1618080500
Punta Arenas,CL,-53.15,-70.9167,53.6,58,20.71,40,1618080022
Riyadh,SA,24.6877,46.7219,95.0,10,4.61,40,1618080267
Saint Paul Harbor,US,57.79,-152.4072,30.2,69,6.82,90,1618080095
Lishui,CN,28.4604,119.9103,59.18,74,1.9,98,1618080501
Ashland,US,40.8167,-82.2665,77.0,45,7.0,100,1618080407
Port Alfred,ZA,-33.5906,26.891,68.43,93,4.54,63,1618080025
Ipirá,BR,-12.1583,-39.7372,79.21,66,12.48,99,1618080502
Naze,JP,28.3667,129.4833,62.24,66,19.26,99,1618080105
Conceição do Araguaia,BR,-8.2578,-49.2647,89.6,51,8.05,20,1618080502
Clyde River,CA,70.4692,-68.5914,30.2,74,2.3,20,1618080109
Puerto Ayora,EC,-0.7393,-90.3518,79.0,89,14.0,68,1618080087
Cayenne,GF,4.9333,-52.3333,84.2,79,8.05,75,1618080128
Ilulissat,GL,69.2167,-51.1,21.2,86,4.61,90,1618080034
Port Elizabeth,ZA,-33.918,25.5701,62.6,94,4.61,75,1618080057
Valdez,EC,1.2492,-78.9831,80.67,77,11.43,43,1618080504
Colomi,BO,-17.35,-65.8667,77.0,33,9.22,75,1618080504
Yellowknife,CA,62.456,-114.3525,7.0,55,12.66,20,1618080052
Arraial do Cabo,BR,-22.9661,-42.0278,84.2,51,18.41,0,1618080023
Bambous Virieux,MU,-20.3428,57.7575,80.01,78,11.5,40,1618080179
Portland,US,45.5234,-122.6762,50.0,65,18.41,90,1618079774
Nelson Bay,AU,-32.7167,152.15,57.99,76,11.5,0,1618080505
Kumhāri,IN,21.2667,81.5167,80.6,54,12.66,40,1618080505
Mersing,MY,2.4312,103.8405,78.8,94,3.44,17,1618080506
Tautira,PF,-17.7333,-149.15,84.2,65,4.61,75,1618080064
Cuiluan,CN,47.72,128.648,46.71,62,3.71,100,1618080506
Mar del Plata,AR,-38.0023,-57.5575,68.0,82,17.27,75,1618079775
Cidreira,BR,-30.1811,-50.2056,79.05,66,7.9,100,1618080115
Anloga,GH,5.7947,0.8973,84.2,79,11.5,20,1618080065
Leshukonskoye,RU,64.8989,45.7622,39.97,84,13.2,100,1618080507
Vardø,NO,70.3705,31.1107,32.58,63,5.64,57,1618080084
Trat,TH,12.5,102.5,78.01,99,0.94,100,1618080507
Camaçari,BR,-12.6975,-38.3242,80.6,74,10.36,75,1618080352
Kushima,JP,31.4583,131.2333,50.38,74,6.78,8,1618080508
Provideniya,RU,64.3833,-173.3,-0.62,85,21.79,100,1618080085
Hilo,US,19.7297,-155.09,71.6,68,3.44,1,1618079934
Souillac,MU,-20.5167,57.5167,78.8,78,11.5,40,1618080042
Hong Kong,HK,22.2855,114.1577,71.01,80,1.01,46,1618080008
Dwārka,IN,22.2394,68.9678,80.29,69,15.99,0,1618080108
Kieta,PG,-6.2167,155.6333,78.44,89,6.62,100,1618080509
Matamoros,MX,25.5333,-103.25,87.8,6,5.08,1,1618080509
Preobrazheniye,RU,42.9019,133.9064,37.31,82,7.36,1,1618080509
Dargaville,NZ,-35.9333,173.8833,63.07,96,3.02,26,1618080510
La Serena,CL,-29.9078,-71.2542,68.0,52,16.11,0,1618080465
San Vicente,AR,-26.6167,-54.1333,87.71,29,4.41,52,1618080510
Nhulunbuy,AU,-12.2333,136.7667,78.8,89,1.86,90,1618080511
Hihyā,EG,30.6713,31.588,57.2,47,13.8,0,1618080511
Longyan,CN,25.1072,117.0225,60.48,78,2.28,52,1618080511
Mangalia,RO,43.8,28.5833,41.0,87,9.22,0,1618080512
Morro Bay,US,35.3658,-120.8499,68.0,72,7.0,97,1618080175
