City,Country,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
Kapaa,US,22.0752,-159.319,78.8,61,12.66,40,1618270419
Arraial do Cabo,BR,-22.9661,-42.0278,77.32,86,19.66,1,1618270601
Dzaoudzi,YT,-12.7887,45.2699,82.4,83,8.05,40,1618270601
Omsukchan,RU,62.5333,155.8,-1.91,84,4.47,68,1618270601
Ribeira Grande,PT,38.5167,-28.7,61.99,87,19.93,89,1618270602
East London,ZA,-33.0153,27.9116,70.97,88,4.12,94,1618270480
Maun,BW,-19.9833,23.4167,68.0,52,5.75,0,1618270602
Fortuna,US,40.5982,-124.1573,60.01,66,16.11,20,1618270346
Bilma,NE,18.6853,12.9164,82.27,10,8.72,0,1618270603
Yar-Sale,RU,66.8333,70.8333,27.68,77,25.21,57,1618270603
Busselton,AU,-33.65,115.3333,50.0,98,8.7,99,1618270603
Rikitea,PF,-23.1203,-134.9692,78.46,70,9.51,4,1618270331
Bluff,NZ,-46.6,168.3333,55.0,96,11.12,100,1618270604
Yangambi,CD,0.8102,24.4336,68.72,98,2.1,86,1618270604
Sørland,NO,67.667,12.6934,35.71,55,6.51,19,1618270605
Salalah,OM,17.0151,54.0924,80.6,69,4.61,20,1618270371
Hilo,US,19.7297,-155.09,78.8,57,12.66,40,1618270595
Castro,BR,-24.7911,-50.0119,63.34,96,3.85,21,1618270605
Yellowknife,CA,62.456,-114.3525,21.99,58,21.85,40,1618270606
Sartell,US,45.6216,-94.2069,44.6,76,18.41,90,1618270606
Bahía Blanca,AR,-38.7196,-62.2724,66.25,54,12.24,0,1618270381
Cabo San Lucas,MX,22.8909,-109.9124,84.0,41,10.36,1,1618270529
Jamestown,US,42.097,-79.2353,51.8,82,11.5,90,1618270607
Mataura,NZ,-46.1927,168.8643,55.0,96,2.39,100,1618270334
Lüderitz,NA,-26.6481,15.1594,77.13,39,6.31,20,1618270607
Köflach,AT,47.0667,15.0833,42.01,60,11.5,90,1618270607
Hede,CN,33.7681,120.2517,54.37,79,15.3,98,1618270608
Atocha,BO,-20.9333,-66.2333,53.24,61,6.89,72,1618270608
Diamantino,BR,-14.4086,-56.4461,73.69,83,3.74,18,1618270609
Butaritari,KI,3.0707,172.7902,81.95,75,11.18,95,1618270405
Albany,US,42.6001,-73.9662,51.01,83,4.5,100,1618270337
Whitehorse,CA,60.7161,-135.0538,39.99,45,19.57,75,1618270609
St. George's,GD,12.0564,-61.7485,80.6,89,13.8,20,1618270497
Khatanga,RU,71.9667,102.5,23.74,94,12.39,99,1618270610
Kigali,RW,-1.95,30.0588,66.2,88,3.44,40,1618270536
Comodoro Rivadavia,AR,-45.8667,-67.5,69.8,30,14.97,0,1618270610
Qaanaaq,GL,77.484,-69.3632,-2.96,88,3.91,17,1618270611
Lebu,CL,-37.6167,-73.65,58.84,84,15.39,0,1618270611
Abu Samrah,SY,35.3029,37.1841,43.03,81,6.64,3,1618270596
Longyearbyen,SJ,78.2186,15.6401,6.8,72,13.8,20,1618270335
Dikson,RU,73.5069,80.5464,25.0,88,13.82,100,1618270612
Sovetskiy,RU,61.3614,63.5842,33.58,88,7.87,60,1618270612
Al Bardīyah,LY,31.7561,25.0865,57.81,65,10.78,49,1618270613
Provideniya,RU,64.3833,-173.3,20.79,88,15.01,99,1618270600
Guerrero Negro,MX,27.9769,-114.0611,63.41,66,19.35,0,1618270390
Hong Kong,HK,22.2855,114.1577,77.0,85,1.01,33,1618270493
Changli,CN,39.7042,119.1506,45.54,21,12.64,2,1618270613
Saint Paul Harbor,US,57.79,-152.4072,42.8,75,6.91,40,1618270383
Lorengau,PG,-2.0226,147.2712,77.23,85,2.91,100,1618270392
Jaguaribe,BR,-5.8906,-38.6219,76.51,80,5.95,91,1618270614
Bilibino,RU,68.0546,166.4372,0.46,62,1.32,52,1618270614
Atuona,PF,-9.8,-139.0333,80.94,74,16.93,37,1618270615
Hobart,AU,-42.8794,147.3294,53.01,81,6.91,75,1618270615
Puerto Ayora,EC,-0.7393,-90.3518,78.8,83,6.91,75,1618270370
Rakaia,NZ,-43.75,172.0167,66.99,45,9.22,75,1618270616
Barrow,US,71.2906,-156.7887,1.4,66,18.41,90,1618270333
Vaini,TO,-21.2,-175.2,82.4,69,6.91,20,1618270335
Hermanus,ZA,-34.4187,19.2345,63.0,90,4.0,81,1618270490
Nikolskoye,RU,59.7035,30.7861,51.01,43,8.95,0,1618270458
Bandarbeyla,SO,9.4942,50.8122,77.97,74,5.7,99,1618270617
Elizabeth City,US,36.2946,-76.2511,61.0,88,10.36,75,1618270457
Hamilton,US,39.1834,-84.5333,66.2,42,8.05,40,1618270436
Lavrentiya,RU,65.5833,-171.0,14.88,92,14.83,100,1618270338
Half Moon Bay,US,37.4636,-122.4286,63.0,82,6.91,1,1618270617
Chumikan,RU,54.7183,135.315,18.5,91,19.46,100,1618270618
Yenagoa,NG,4.9247,6.2642,79.0,86,4.34,76,1618270618
Port Elizabeth,ZA,-33.918,25.5701,68.0,94,3.44,90,1618270618
Porto de Moz,BR,-1.7483,-52.2383,74.77,93,3.24,35,1618270619
Nanortalik,GL,60.1432,-45.2371,34.45,82,9.53,10,1618270551
Oktyabr'skoye,RU,43.0645,44.7417,46.4,93,2.24,100,1618270619
Ketchikan,US,55.3422,-131.6461,46.4,46,9.22,20,1618270441
Mar del Plata,AR,-38.0023,-57.5575,66.99,72,9.22,0,1618270382
Øksfjord,NO,70.2396,22.3479,30.2,68,5.75,97,1618270620
Lae,PG,-6.7221,146.9847,77.0,83,4.61,20,1618270620
Sola,VU,-13.8833,167.55,82.58,71,15.12,96,1618270621
Eenhana,NA,-17.4667,16.3333,66.2,59,4.61,3,1618270621
Bad Langensalza,DE,51.1,10.65,36.0,86,9.22,0,1618270622
Tasiilaq,GL,65.6145,-37.6368,26.6,68,9.22,11,1618270622
Ziro,IN,27.6333,93.8333,47.08,87,3.13,1,1618270622
Sittwe,MM,20.15,92.9,77.56,83,4.23,14,1618270623
Mogadishu,SO,2.0371,45.3438,81.91,72,11.1,77,1618270623
Torbay,CA,47.6666,-52.7314,37.4,100,26.46,90,1618270623
Cape Town,ZA,-33.9258,18.4232,63.0,88,8.05,0,1618270562
Carnarvon,AU,-24.8667,113.6333,72.45,67,24.96,82,1618270350
Kurchum,KZ,48.5722,83.6542,40.5,37,3.44,1,1618270624
San Cristobal,VE,7.7669,-72.225,84.2,70,6.91,75,1618270624
Hasaki,JP,35.7333,140.8333,61.0,82,4.61,75,1618270625
Takoradze,GH,4.8845,-1.7554,81.07,85,10.11,71,1618270502
Kaitangata,NZ,-46.2817,169.8464,57.99,79,3.18,100,1618270385
Nuuk,GL,64.1835,-51.7216,33.8,75,1.14,57,1618270523
Fort Nelson,CA,58.8053,-122.7002,50.0,20,8.05,75,1618270626
Codrington,AU,-38.2667,141.9667,58.91,51,17.58,100,1618270380
Bayog,PH,7.8667,123.0667,81.79,75,2.39,45,1618270626
Potam,MX,27.6,-110.3833,82.0,39,11.5,1,1618270627
Sioux Lookout,CA,50.1001,-91.917,35.6,87,8.05,90,1618270627
Shumskiy,RU,54.8318,99.1328,38.01,87,10.16,100,1618270627
Williams Lake,CA,52.1415,-122.1445,44.6,24,4.61,1,1618270628
Biak,ID,-0.9131,122.8766,79.27,78,5.23,93,1618270532
Abengourou,CI,6.7297,-3.4964,70.63,95,4.9,100,1618270628
Vostok,RU,46.4856,135.8833,41.86,74,5.59,100,1618270628
Saint George,US,37.1041,-113.5841,81.0,9,9.22,1,1618270629
Hithadhoo,MV,-0.6,73.0833,82.71,73,7.58,86,1618270331
Bengkulu,ID,-3.8004,102.2655,76.66,85,3.36,97,1618270630
Amga,RU,60.8953,131.9608,19.74,87,2.66,100,1618270630
Leh,IN,34.1667,77.5833,27.46,69,1.57,13,1618270400
Avarua,CK,-21.2078,-159.775,80.6,69,5.75,20,1618270630
Thompson,CA,55.7435,-97.8558,26.6,54,11.5,90,1618270631
Aykhal,RU,66.0,111.5,21.09,93,17.11,100,1618270631
Tuatapere,NZ,-46.1333,167.6833,55.0,96,2.08,100,1618270631
Tomari,RU,47.7658,142.0683,46.06,76,26.87,100,1618270632
Soyo,AO,-6.1349,12.3689,79.27,83,3.67,94,1618270632
